Project_ID,Project_Name,Category,Current_Value,Target_Value,Progress_Status,Budget (€),Expenditure (€),Risk_Level,End_Date,Compliance_Standard,ESG_Metric,Carbon_Footprint (tCO2e),Energy_Efficiency (%),Water_Usage (m³),Waste_Reduction (%),Community_Impact_Score,Diversity_Index (%),Renewable_Energy (%),ESG_Compliance_Score,CSRD_Compliance,Stakeholder_Impact,Environmental_Risks,Supply_Chain_Disruptions,Mitigation_Status,Alerts,Recommendations
29,Project 29,Waste Management,84,90,On Track,418493,181415,Low,6/10/2026,DNK,Energy Efficiency,19.36,37,2183,31,8.9,87,64,99,Aligned,6.7,Low,No,Not Started,,Maintain current pace
30,Project 30,Infrastructure,58,86,In Progress,374965,298330,Medium,10/6/2026,CSRD,Energy Efficiency,24.22,31,3546,21,6.5,100,45,74,Partially Aligned,8.3,Low,No,Completed,,Monitor progress and optimize resource allocation
31,Project 31,Social Impact,66,85,In Progress,388972,229528,Medium,2/23/2026,GRI,Water Conservation,29,39,2660,21,6.1,37,45,77,Partially Aligned,9.7,Low,No,Completed,,Monitor progress and optimize resource allocation
32,Project 32,Renewable Energy,68,96,In Progress,318457,315509,Medium,7/30/2026,GRI,Water Conservation,22.08,30,2190,28,6.2,49,49,73,Partially Aligned,5.1,Medium,No,Completed,Moderate risk in Renewable Energy,Monitor progress and optimize resource allocation
33,Project 33,Infrastructure,83,98,In Progress,83341,21482,Medium,7/4/2025,GRI,Water Conservation,20.28,25,3756,40,5.5,69,45,74,Partially Aligned,8.4,Low,No,Completed,,Monitor progress and optimize resource allocation
34,Project 34,Renewable Energy,41,87,Behind Schedule,317902,110705,High,11/21/2026,DNK,Energy Efficiency,47.78,10,4364,14,4.8,50,10,63,Not Aligned,5.2,Low,Yes,Ongoing,,Increase resources and address high-risk areas
35,Project 35,Infrastructure,70,98,In Progress,369520,197700,Medium,9/29/2025,GRI,Water Conservation,21.24,25,2921,30,7.1,57,40,76,Partially Aligned,7.8,Low,No,Completed,,Monitor progress and optimize resource allocation
36,Project 36,Social Impact,12,84,Behind Schedule,208677,187390,High,6/27/2026,GRI,Carbon Reduction,47.74,16,3017,11,4.1,69,16,70,Not Aligned,8,Medium,Yes,Ongoing,Moderate risk in Social Impact,Increase resources and address high-risk areas
37,Project 37,Transport,36,83,Behind Schedule,326734,257314,High,12/27/2025,DNK,Water Conservation,39.77,13,4053,17,1.9,79,25,66,Not Aligned,5.2,Low,Yes,Ongoing,,Increase resources and address high-risk areas
38,Project 38,Social Impact,65,85,In Progress,114341,113911,Medium,7/6/2025,DNK,Energy Efficiency,21.23,27,2469,26,7,35,47,70,Partially Aligned,9.5,Medium,No,Completed,Moderate risk in Social Impact,Monitor progress and optimize resource allocation
39,Project 39,Transport,70,95,In Progress,439012,129154,Medium,6/21/2025,CSRD,Water Conservation,28.7,38,2298,20,6.3,41,36,85,Partially Aligned,5.1,Low,No,Completed,,Monitor progress and optimize resource allocation
40,Project 40,Waste Management,50,83,In Progress,133664,86959,Medium,1/28/2025,CSRD,Energy Efficiency,26.46,34,2213,34,7,100,40,75,Partially Aligned,5.9,Low,No,Completed,,Monitor progress and optimize resource allocation
41,Project 41,Renewable Energy,64,99,In Progress,61782,53900,Medium,1/31/2025,GRI,Energy Efficiency,22.48,22,3677,31,6.9,43,43,85,Partially Aligned,6.5,Medium,No,Completed,Moderate risk in Renewable Energy,Monitor progress and optimize resource allocation
42,Project 42,Social Impact,74,96,In Progress,366510,108874,Medium,6/5/2026,GRI,Water Conservation,28.86,40,3594,25,7.1,51,47,72,Partially Aligned,8.2,Low,No,Completed,,Monitor progress and optimize resource allocation
43,Project 43,Social Impact,50,90,In Progress,156961,93792,Medium,9/11/2026,CSRD,Carbon Reduction,22.67,26,2013,33,7.9,84,45,78,Partially Aligned,8.6,Low,No,Completed,,Monitor progress and optimize resource allocation
44,Project 44,Waste Management,87,89,On Track,88957,32131,Low,12/17/2026,GRI,Carbon Reduction,14.25,40,1844,39,8.7,54,81,96,Aligned,6.1,Low,No,Not Started,,Maintain current pace
45,Project 45,Transport,36,90,Behind Schedule,260739,153876,High,9/16/2026,GRI,Carbon Reduction,42.23,18,3518,18,1.4,61,20,64,Not Aligned,5,Low,Yes,Ongoing,,Increase resources and address high-risk areas
46,Project 46,Social Impact,65,89,In Progress,285534,170663,Medium,4/11/2026,CSRD,Energy Efficiency,22.63,34,3376,28,7.4,45,43,83,Partially Aligned,9.1,Low,No,Completed,,Monitor progress and optimize resource allocation
47,Project 47,Infrastructure,38,87,Behind Schedule,200390,105391,High,4/10/2024,GRI,Energy Efficiency,46.39,14,3270,14,1.7,72,29,63,Not Aligned,7.5,Low,Yes,Ongoing,,Increase resources and address high-risk areas
48,Project 48,Renewable Energy,40,99,Behind Schedule,117554,89397,High,1/9/2025,GRI,Energy Efficiency,30.77,14,4961,15,1.4,84,22,67,Not Aligned,6.6,Low,Yes,Ongoing,,Increase resources and address high-risk areas
49,Project 49,Infrastructure,43,89,Behind Schedule,160788,39629,High,1/2/2026,CSRD,Energy Efficiency,36.16,16,3917,15,1.8,73,10,65,Not Aligned,9.1,Low,Yes,Ongoing,,Increase resources and address high-risk areas
50,Project 50,Infrastructure,56,88,In Progress,386486,174282,Medium,8/4/2026,DNK,Water Conservation,26.31,40,2216,26,5.8,51,46,81,Partially Aligned,7.5,Low,No,Completed,,Monitor progress and optimize resource allocation
